# 
# Phonon density of states and atom type projected DOS
# 
# Energy in Ha , DOS in states/Ha
# Gaussian method with smearing =   2.00000000E-05Ha , nqibz =1140
# 
# omega     PHDOS    INT_PHDOS   PJDOS[atom_type=1]  INT_PJDOS[atom_type=1] ...  
#
  -4.29905339E-05   1.01966694E+02   1.36755765E-02   1.01966694E+02   1.36755765E-02  
  -4.20792668E-05   1.01388291E+02   1.37679683E-02   1.01388291E+02   1.37679683E-02  
  -4.11679998E-05   1.00845423E+02   1.38598654E-02   1.00845423E+02   1.38598654E-02  
  -4.02567327E-05   1.00336020E+02   1.39512983E-02   1.00336020E+02   1.39512983E-02  
  -3.93454657E-05   9.98575314E+01   1.40422952E-02   9.98575314E+01   1.40422952E-02  
  -3.84341986E-05   9.94069455E+01   1.41328815E-02   9.94069455E+01   1.41328815E-02  
  -3.75229316E-05   9.89808213E+01   1.42230794E-02   9.89808213E+01   1.42230794E-02  
  -3.66116645E-05   9.85753228E+01   1.43129079E-02   9.85753228E+01   1.43129079E-02  
  -3.57003975E-05   9.81862603E+01   1.44023818E-02   9.81862603E+01   1.44023818E-02  
  -3.47891304E-05   9.78091364E+01   1.44915120E-02   9.78091364E+01   1.44915120E-02  
  -3.38778634E-05   9.74391973E+01   1.45803052E-02   9.74391973E+01   1.45803052E-02  
  -3.29665963E-05   9.70714876E+01   1.46687632E-02   9.70714876E+01   1.46687632E-02  
  -3.20553293E-05   9.67009090E+01   1.47568836E-02   9.67009090E+01   1.47568836E-02  
  -3.11440622E-05   9.63222823E+01   1.48446589E-02   9.63222823E+01   1.48446589E-02  
  -3.02327952E-05   9.59304108E+01   1.49320771E-02   9.59304108E+01   1.49320771E-02  
  -2.93215281E-05   9.55201457E+01   1.50191215E-02   9.55201457E+01   1.50191215E-02  
  -2.84102611E-05   9.50864522E+01   1.51057706E-02   9.50864522E+01   1.51057706E-02  
  -2.74989940E-05   9.46244753E+01   1.51919988E-02   9.46244753E+01   1.51919988E-02  
  -2.65877270E-05   9.41296041E+01   1.52777760E-02   9.41296041E+01   1.52777760E-02  
  -2.56764599E-05   9.35975354E+01   1.53630683E-02   9.35975354E+01   1.53630683E-02  
  -2.47651929E-05   9.30243340E+01   1.54478384E-02   9.30243340E+01   1.54478384E-02  
  -2.38539258E-05   9.24064897E+01   1.55320453E-02   9.24064897E+01   1.55320453E-02  
  -2.29426588E-05   9.17409704E+01   1.56156459E-02   9.17409704E+01   1.56156459E-02  
  -2.20313917E-05   9.10252702E+01   1.56985942E-02   9.10252702E+01   1.56985942E-02  
  -2.11201247E-05   9.02574526E+01   1.57808428E-02   9.02574526E+01   1.57808428E-02  
  -2.02088576E-05   8.94361871E+01   1.58623431E-02   8.94361871E+01   1.58623431E-02  
  -1.92975906E-05   8.85607795E+01   1.59430456E-02   8.85607795E+01   1.59430456E-02  
  -1.83863235E-05   8.76311958E+01   1.60229010E-02   8.76311958E+01   1.60229010E-02  
  -1.74750565E-05   8.66480779E+01   1.61018606E-02   8.66480779E+01   1.61018606E-02  
  -1.65637894E-05   8.56127532E+01   1.61798766E-02   8.56127532E+01   1.61798766E-02  
  -1.56525224E-05   8.45272355E+01   1.62569035E-02   8.45272355E+01   1.62569035E-02  
  -1.47412553E-05   8.33942186E+01   1.63328979E-02   8.33942186E+01   1.63328979E-02  
  -1.38299883E-05   8.22170629E+01   1.64078196E-02   8.22170629E+01   1.64078196E-02  
  -1.29187212E-05   8.09997737E+01   1.64816321E-02   8.09997737E+01   1.64816321E-02  
  -1.20074542E-05   7.97469728E+01   1.65543029E-02   7.97469728E+01   1.65543029E-02  
  -1.10961871E-05   7.84638638E+01   1.66258044E-02   7.84638638E+01   1.66258044E-02  
  -1.01849201E-05   7.71561897E+01   1.66961143E-02   7.71561897E+01   1.66961143E-02  
  -9.27365301E-06   7.58301861E+01   1.67652158E-02   7.58301861E+01   1.67652158E-02  
  -8.36238596E-06   7.44925277E+01   1.68330984E-02   7.44925277E+01   1.68330984E-02  
  -7.45111891E-06   7.31502712E+01   1.68997578E-02   7.31502712E+01   1.68997578E-02  
  -6.53985186E-06   7.18107932E+01   1.69651967E-02   7.18107932E+01   1.69651967E-02  
  -5.62858481E-06   7.04817258E+01   1.70294243E-02   7.04817258E+01   1.70294243E-02  
  -4.71731776E-06   6.91708887E+01   1.70924575E-02   6.91708887E+01   1.70924575E-02  
  -3.80605071E-06   6.78862199E+01   1.71543200E-02   6.78862199E+01   1.71543200E-02  
  -2.89478366E-06   6.66357059E+01   1.72150429E-02   6.66357059E+01   1.72150429E-02  
  -1.98351661E-06   6.54273107E+01   1.72746646E-02   6.54273107E+01   1.72746646E-02  
  -1.07224956E-06   6.42689063E+01   1.73332308E-02   6.42689063E+01   1.73332308E-02  
  -1.60982505E-07   6.31682040E+01   1.73907939E-02   6.31682040E+01   1.73907939E-02  
   7.50284546E-07   6.21326882E+01   1.74474133E-02   6.21326882E+01   1.74474133E-02  
   1.66155160E-06   6.11695528E+01   1.75031551E-02   6.11695528E+01   1.75031551E-02  
   2.57281865E-06   6.02856409E+01   1.75580915E-02   6.02856409E+01   1.75580915E-02  
   3.48408570E-06   5.94873889E+01   1.76123004E-02   5.94873889E+01   1.76123004E-02  
   4.39535275E-06   5.87807751E+01   1.76658653E-02   5.87807751E+01   1.76658653E-02  
   5.30661980E-06   5.81712737E+01   1.77188749E-02   5.81712737E+01   1.77188749E-02  
   6.21788685E-06   5.76638137E+01   1.77714220E-02   5.76638137E+01   1.77714220E-02  
   7.12915390E-06   5.72627444E+01   1.78236037E-02   5.72627444E+01   1.78236037E-02  
   8.04042095E-06   5.69718069E+01   1.78755202E-02   5.69718069E+01   1.78755202E-02  
   8.95168800E-06   5.67941119E+01   1.79272748E-02   5.67941119E+01   1.79272748E-02  
   9.86295505E-06   5.67321244E+01   1.79789729E-02   5.67321244E+01   1.79789729E-02  
   1.07742221E-05   5.67876545E+01   1.80307217E-02   5.67876545E+01   1.80307217E-02  
   1.16854892E-05   5.69618552E+01   1.80826291E-02   5.69618552E+01   1.80826291E-02  
   1.25967562E-05   5.72552268E+01   1.81348039E-02   5.72552268E+01   1.81348039E-02  
   1.35080233E-05   5.76676276E+01   1.81873545E-02   5.76676276E+01   1.81873545E-02  
   1.44192903E-05   5.81982904E+01   1.82403887E-02   5.81982904E+01   1.82403887E-02  
   1.53305574E-05   5.88458453E+01   1.82940130E-02   5.88458453E+01   1.82940130E-02  
   1.62418244E-05   5.96083481E+01   1.83483321E-02   5.96083481E+01   1.83483321E-02  
   1.71530915E-05   6.04833135E+01   1.84034486E-02   6.04833135E+01   1.84034486E-02  
   1.80643585E-05   6.14677531E+01   1.84594621E-02   6.14677531E+01   1.84594621E-02  
   1.89756256E-05   6.25582178E+01   1.85164693E-02   6.25582178E+01   1.85164693E-02  
   1.98868926E-05   6.37508432E+01   1.85745634E-02   6.37508432E+01   1.85745634E-02  
   2.07981597E-05   6.50413994E+01   1.86338335E-02   6.50413994E+01   1.86338335E-02  
   2.17094267E-05   6.64253416E+01   1.86943647E-02   6.64253416E+01   1.86943647E-02  
   2.26206938E-05   6.78978641E+01   1.87562378E-02   6.78978641E+01   1.87562378E-02  
   2.35319608E-05   6.94539546E+01   1.88195289E-02   6.94539546E+01   1.88195289E-02  
   2.44432279E-05   7.10884498E+01   1.88843095E-02   7.10884498E+01   1.88843095E-02  
   2.53544949E-05   7.27960903E+01   1.89506461E-02   7.27960903E+01   1.89506461E-02  
   2.62657620E-05   7.45715758E+01   1.90186007E-02   7.45715758E+01   1.90186007E-02  
   2.71770290E-05   7.64096181E+01   1.90882303E-02   7.64096181E+01   1.90882303E-02  
   2.80882961E-05   7.83049930E+01   1.91595871E-02   7.83049930E+01   1.91595871E-02  
   2.89995631E-05   8.02525896E+01   1.92327186E-02   8.02525896E+01   1.92327186E-02  
   2.99108302E-05   8.22474568E+01   1.93076680E-02   8.22474568E+01   1.93076680E-02  
   3.08220972E-05   8.42848460E+01   1.93844740E-02   8.42848460E+01   1.93844740E-02  
   3.17333643E-05   8.63602505E+01   1.94631713E-02   8.63602505E+01   1.94631713E-02  
   3.26446313E-05   8.84694401E+01   1.95437906E-02   8.84694401E+01   1.95437906E-02  
   3.35558984E-05   9.06084916E+01   1.96263591E-02   9.06084916E+01   1.96263591E-02  
   3.44671654E-05   9.27738140E+01   1.97109008E-02   9.27738140E+01   1.97109008E-02  
   3.53784325E-05   9.49621684E+01   1.97974367E-02   9.49621684E+01   1.97974367E-02  
   3.62896995E-05   9.71706830E+01   1.98859851E-02   9.71706830E+01   1.98859851E-02  
   3.72009666E-05   9.93968621E+01   1.99765622E-02   9.93968621E+01   1.99765622E-02  
   3.81122336E-05   1.01638590E+02   2.00691821E-02   1.01638590E+02   2.00691821E-02  
   3.90235007E-05   1.03894129E+02   2.01638574E-02   1.03894129E+02   2.01638574E-02  
   3.99347677E-05   1.06162112E+02   2.02605995E-02   1.06162112E+02   2.02605995E-02  
   4.08460348E-05   1.08441529E+02   2.03594187E-02   1.08441529E+02   2.03594187E-02  
